CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
Cust_0001,55,Female,Two year,38.80270649746805,77.61,No,No,2,Yes,Credit card (automatic),No,38.80270649746805,77.61
Cust_0002,48,Male,Month-to-month,86.00477063550701,946.05,Yes,No,11,No,Credit card (automatic),No,86.00477063550701,946.05
Cust_0003,57,Female,Month-to-month,65.65583582344478,3611.07,No,No,55,Yes,Mailed check,No,65.65583582344478,3611.07
Cust_0004,68,Female,One year,94.25865914989195,565.55,Yes,Fiber optic,6,Yes,Mailed check,No,94.25865914989195,565.55
Cust_0005,47,Female,Month-to-month,48.22905361534547,964.58,Yes,DSL,20,No,Electronic check,No,48.22905361534547,964.58
Cust_0006,47,Male,Month-to-month,69.45145504405521,4236.54,No,No,61,Yes,Credit card (automatic),Yes,69.45145504405521,4236.54
Cust_0007,68,Female,Month-to-month,32.29217181524376,1356.27,No,Fiber optic,42,Yes,Credit card (automatic),Yes,32.29217181524376,1356.27
Cust_0008,59,Female,Month-to-month,66.08268900525852,1189.49,Yes,Fiber optic,18,Yes,Credit card (automatic),No,66.08268900525852,1189.49
Cust_0009,44,Female,One year,39.906918010075046,798.14,Yes,No,20,No,Mailed check,No,39.906918010075046,798.14
Cust_0010,56,Male,One year,32.216505012587774,676.55,No,Fiber optic,21,No,Credit card (automatic),No,32.216505012587774,676.55
Cust_0011,44,Male,Month-to-month,45.95983317724045,1194.96,No,DSL,26,Yes,Mailed check,Yes,45.95983317724045,1194.96
Cust_0012,44,Female,Month-to-month,49.80487250409148,298.83,No,No,6,No,Electronic check,No,49.80487250409148,298.83
Cust_0013,52,Male,One year,42.92132506828041,429.21,Yes,Fiber optic,10,No,Credit card (automatic),No,42.92132506828041,429.21
Cust_0014,27,Female,One year,49.091735851530444,196.37,Yes,Fiber optic,4,No,Electronic check,No,49.091735851530444,196.37
Cust_0015,29,Male,Month-to-month,51.4833406092369,51.48,Yes,No,1,No,Mailed check,Yes,51.4833406092369,51.48
